이름,영문 이름,defName,출처 모드,packageId,건축 탭,크기,칸 수,통행,전력,중력선,특징,연구,건설 비용,체력,작업량,아름다움,지형 조건,포장 가능,설명,제작 레시피 수,대표 제작품,실제 적용값(모드 설정)
기관총 무기 스테이션,QS weapon station-LMG,CMC_CSGTurret_C,CeleTech Arsenal MKIII,tot.celetech.mkiii,셀레테크,1x1,1,가능,-550 W,,연료 Steel 180,Advanced Defense Protocol,"Steel 120, Plasteel 50, ComponentIndustrial 4, ComponentSpacer 1",600,,,Light,예,"""Qingshuang-C""는 범용 전투용 무장 모드입니다. 소구경 기관총탄을 발사합니다.",,,
대형 위상 배열 레이더,Kunlun Giant Radar Array,CMC_CICAESA_Radar,CeleTech Arsenal MKIII,tot.celetech.mkiii,셀레테크,7x7,49,통과만,-8000 W,,,"Vacuum Zero-Point Energy, Heavy Fortifications","Steel 3000, Plasteel 2000, ComponentIndustrial 60, ComponentSpacer 30, Silver 300, Gold 50",3000,399999,,Heavy,,"""Kunlun""은 거대한 위상 배열 레이더 시설로, 적이 기지를 정밀 조준하는 것을 방해하는 한편 아군 미사일의 대공·대지 공격을 유도합니다.\n\n건설 시 효과:\n- 적이 지도 중앙으로 강하하는 것을 막습니다.\n- 지도 전역 대전차 미사일 포탑의 자동 사격을 해금합니다.\n- 지도 전역 대공 미사일이 적의 폭발성·고각 투사체를 능동적으로 요격하도록 유도합니다.\n- 일정 범위 안의 거점",,,
무기 개조 작업대,weapon modification bench,CMC_WeaponModificationBench,CeleTech Arsenal MKIII,tot.celetech.mkiii,셀레테크,2x2,4,통과만,-75 W,,,Crystalline Weapon Coating,"Steel 100, ComponentIndustrial 6",180,2500,,Light,,기존 총기의 맞춤 개조를 전담하는 작업대입니다. 정밀 교정 장치와 부속품 인터페이스 도구를 갖춰 숙련된 제작자가 무기 성능을 조정하거나 전술 부속품을 장착해 다양한 전투 요구에 맞출 수 있습니다.,,,
부속품 상자,accessory cabinet,CMC_AccessoryCabinet,CeleTech Arsenal MKIII,tot.celetech.mkiii,셀레테크,2x1,2,통과만,,,저장 칸당 1묶음,Basic Weapon Accessories,"Steel 60, ComponentIndustrial 1",150,800,2,Light,예,"무기 부속품을 보관하는 특수 공구함으로, 12.9칸 이내의 무기 개조 작업대에서 사용할 수 있습니다.",,,
사격 통제 레이더,Taihang Fire Control Radar,CMC_FCradar,CeleTech Arsenal MKIII,tot.celetech.mkiii,셀레테크,2x2,4,통과만,-200 W,,연결 설비 [ShootingAccuracyTurret 0.25] 거리 29,Heavy Fortifications,"Steel 100, Plasteel 80, ComponentIndustrial 4, ComponentSpacer 1",750,8000,,Light,예,"""Taihang""은 주변 포탑에 데이터 링크를 제공해 사격 정확도를 크게 높이는 양면 능동 위상 배열 레이더입니다.",,,
성간 화물 플랫폼,CAG stellar cargo platform,CMC_LandPlatform,CeleTech Arsenal MKIII,tot.celetech.mkiii,셀레테크,5x5,25,가능,-200 W,,,Automated Orbital Trading,"Steel 1000, Plasteel 100, ComponentIndustrial 10",15000,8000,,Light,,셀레스티얼 장인 길드(CAG) 무인 성간 무역망을 위한 표준 착륙장입니다. 자동 유도 표지와 완충 역장 발생기를 갖춰 극한의 행성 환경에서도 셔틀의 정확한 착륙과 신속한 화물 하역을 보장합니다.\n\n▲ 핵심 운용 절차 ▲\n- 착륙 구역은 지정 범위 안에서 완전히 비어 있어야 합니다.\n- 여유 공간 조건을 충족하지 못하면 셔틀이 자동 회피 절차를 실행해 귀환합니다.\n\n※ 경고: 낮은 ,,,
소형 지열 발전기,CMC geothermal generator,CMC_AdvancedGeothermalGenerator,CeleTech Arsenal MKIII,tot.celetech.mkiii,셀레테크,4x4,16,불가,+4500 W 발전,,"설치조건: OnSteamGeyser,InvalidOverSubstructure","geothermal power, Fission Reaction Groups","Steel 400, ComponentIndustrial 10, ComponentSpacer 1",2500,80000,10,Heavy,,구조를 최적화해 효율을 조금 높이고 점유 면적을 약간 줄인 지열 발전기입니다.,,,
속사 기관포탑,“Qinggang Barragefire” EM cannon turret,CMCcannon,CeleTech Arsenal MKIII,tot.celetech.mkiii,셀레테크,3x3,9,통과만,-1050 W,,연료 Steel 360 / 연결 가능 설비 1종,"autocannon turret, Heavy Fortifications","Steel 500, Plasteel 180, ComponentIndustrial 12, ComponentSpacer 4",900,9000,-20,Heavy,,"""Qinggang·Liaoyuan""은 대구경 고연사 기관포탑입니다. 포탑 장갑은 소구경 무기와 폭발로 받는 피해를 어느 정도 줄여 줍니다.",,,
스마트 저격 포탑,30mm sniper EML,CMC_Svcannon,CeleTech Arsenal MKIII,tot.celetech.mkiii,셀레테크,2x2,4,통과만,-1050 W,,연료 Steel 360,"Advanced Defense Protocol, Dynamic Path Calculation","Steel 500, Plasteel 180, ComponentIndustrial 12, ComponentSpacer 4",400,9000,-20,Heavy,,프록시마 센타우리 대학교가 개발한 첨단 광전·적외선 센서를 장착한 스마트 저격 포탑입니다. 적을 추적하고 보호막을 관통하는 대구경 스마트 기관포탄을 발사합니다.,,,
승강식 기관포,pop-up twin 30mm railgun turret,CMC_ReinforcedBunker_R,CeleTech Arsenal MKIII,tot.celetech.mkiii,셀레테크,3x3,9,통과만,-200 W,,연료 Steel 2000 / 연결 가능 설비 1종,Electromagnetic Elevator,"Steel 500, Plasteel 50, ComponentIndustrial 5, ComponentSpacer 1, Uranium 20",10000,12000,,Heavy,,"승강식 2연장 30mm 전자기 기관포입니다. 내려가 있을 때는 적의 표적이 되지 않으며, 올라가면 최우선 표적이 됩니다. 올리고 내리는 동안에는 더 취약합니다.",,,
승강식 유탄포,pop-up AGS turret,CMC_ReinforcedBunkerAGS_R,CeleTech Arsenal MKIII,tot.celetech.mkiii,셀레테크,3x3,9,통과만,-200 W,,연료 Steel 2000,Electromagnetic Elevator,"Steel 500, Plasteel 50, ComponentIndustrial 5, ComponentSpacer 1, Uranium 20",10000,12000,,Heavy,,"승강식 45mm 고속 유탄 발사기입니다. 내려가 있을 때는 적의 표적이 되지 않으며, 올라가면 최우선 표적이 됩니다. 올리고 내리는 동안에는 더 취약합니다.",,,
승강식 중기관총 벙커,pop-up HMG bastion,CMC_ReinforcedBunker,CeleTech Arsenal MKIII,tot.celetech.mkiii,셀레테크,3x3,9,통과만,-200 W,,연료 Steel 2000 / 연결 가능 설비 1종,Electromagnetic Elevator,"Steel 800, Plasteel 150, ComponentIndustrial 5, ComponentSpacer 1, Uranium 120",10000,12000,,Heavy,,"승강식 중기관총 벙커 ""Xuanwu·Yuanjia""는 내려가 있을 때는 적의 표적이 되지 않으며, 올라가면 다른 포탑과 정착민보다 우선 표적이 됩니다. 표면의 중장갑은 받는 피해를 크게 줄여 주지만, 올리고 내리는 동안에는 더 취약합니다.",,,
승강식 화염방사 벙커,"""Xuanwu Abyssal"" flame bastion",CMC_ReinforcedBunker_Fire,CeleTech Arsenal MKIII,tot.celetech.mkiii,셀레테크,3x3,9,통과만,-720 W,,연료 Steel 500,Electromagnetic Elevator,"Steel 500, Plasteel 50, ComponentIndustrial 5, ComponentSpacer 1, Uranium 20",10000,12000,,Heavy,,"승강식 화염방사 벙커 ""Xuanwu·Yuanjia""는 내려가 있을 때는 적의 표적이 되지 않으며, 올라가면 최우선 표적이 됩니다. 표면의 중장갑은 받는 피해를 크게 줄여 주지만, 올리고 내리는 동안에는 더 취약합니다.",,,
신경 증폭기,neural booster,CMC_AoEbooster,CeleTech Arsenal MKIII,tot.celetech.mkiii,셀레테크,1x1,1,통과만,-200 W,,조명 반경 3,Heavy Casting Platform,"Steel 40, Plasteel 100, ComponentIndustrial 10, ComponentSpacer 2, Silver 10, Gold 3",150,8000,,Light,예,주변 모든 생물의 의식과 이동 속도를 높이는 원격 신경 증폭기입니다.,,,
양자 통신탑,long-range quantum communication tower,CMC_CommTower,CeleTech Arsenal MKIII,tot.celetech.mkiii,셀레테크,2x2,4,통과만,-1000 W,,설치조건: NotUnderRoof,Automated Orbital Trading,"Steel 160, ComponentIndustrial 2",1500,18000,,Light,,"양자 얽힘을 기반으로 한 성간 통신 노드입니다. ""Tianji"" 양자 통신 코어는 행성의 곡률과 물리적 장애물을 무시하고 행성 표면과 심우주 사이의 정보를 즉시 동기화합니다. 이 기술은 셀레스티얼 장인 길드(CAG)의 궤도 상선, 성간 구축함, 지상 기지 사이의 통신을 유지합니다.\n\n건설하면 CAG 무역 함대와 통신해 자율 무역 셔틀의 파견이나 보안 서비스 구매를 요청할 수 있습니다.",,,
영점 반응로,ZP-reactor group,CMC_ZPReactor_Large,CeleTech Arsenal MKIII,tot.celetech.mkiii,셀레테크,3x3,9,통과만,+80000 W 발전,,,Vacuum Zero-Point Energy,"Steel 2000, Plasteel 1000, ComponentIndustrial 80, ComponentSpacer 60, Silver 300, Gold 80",3000,399999,,Heavy,,"""Taixu""는 카시미르 효과로 진공에서 에너지를 추출하는 안전하고 효율적인 영점 반응로입니다.",,,
원격 기분 관리 시스템,CeleTech mood booster,CMC_DECO_WIFI,CeleTech Arsenal MKIII,tot.celetech.mkiii,셀레테크,1x1,1,통과만,-150 W,,,Heavy Casting Platform,"Steel 40, Plasteel 100, ComponentIndustrial 10, ComponentSpacer 2, Silver 10, Gold 3",200,7500,72,Light,예,주변 인간의 기분을 높이는 전파 송신기입니다.,,,
자동화 허브,CMC-DFY automation hub,CMC_ManagedWorkTable,CeleTech Arsenal MKIII,tot.celetech.mkiii,셀레테크,3x3,9,가능,-1200 W,,,Heavy Casting Platform,"Steel 240, Plasteel 120, ComponentIndustrial 6, ComponentSpacer 4",1500,8000,,Heavy,,1x1 자동화 관리 허브입니다. CMC 작업대 가까이에 두면 계획서를 자동 인수해 재료를 허브로 나르고 자동 가공한 뒤 결과물을 바닥에 놓습니다. 관리자(정착민 또는 AI)를 고를 수 있습니다. 속도 보너스는 전력 소모를 늘리고 품질 보정은 방어구와 무기에만 적용됩니다.,,,
전자기 근접방어 체계,4*30mm EM-CIWS,CMCcannon_BF,CeleTech Arsenal MKIII,tot.celetech.mkiii,셀레테크,5x5,25,통과만,-1050 W,,연료 Steel 1200 / 연결 가능 설비 1종,"Destroyer-Class Armaments, Neural Link Targeting","Steel 900, Plasteel 230, ComponentIndustrial 12, ComponentSpacer 8",1500,9000,-20,Heavy,,"""Yitian""은 고속 표적을 추적할 수 있는 4연장 30mm 전자기 근접방어 체계입니다.",,,
중량급 미사일 발사탑,"""Chunjun Armorrend"" ATGM turret",CMCML,CeleTech Arsenal MKIII,tot.celetech.mkiii,셀레테크,3x3,9,통과만,-3300 W,,연료 CMC_MissileShell 6,"AI Cooperative Guidance, Heavy Fortifications","Steel 1200, Plasteel 320, ComponentIndustrial 8, ComponentSpacer 10",4000,8000,-20,Heavy,,"""Chunjun·Guanjia""는 6연장 미사일 포탑입니다. 복합 유도 방식의 HJ-50 중량급 대전차 미사일을 장비해, 레이더 유도로 자동 표적 탐색하거나 수동으로 조준할 수 있습니다.\n\n장전 완료 상태에서 파괴되면 넓은 범위의 유폭이 일어납니다.\n\n이 무기는 분리 유도식 집속 탄두를 장착했습니다. 탄체는 명중 전에 여러 고폭 대인 자탄을 방출해 사전 성형 파편으로 범위 내 무방비 ",,,
집속 로켓 발사탑,"""Ganjiang Infernowave""rocket launcher",CMC_RocketswarmLauncher,CeleTech Arsenal MKIII,tot.celetech.mkiii,셀레테크,3x3,9,통과만,-1500 W,,연료 CMC_RocketShell 36,"rocketswarm launcher, Heavy Fortifications","Plasteel 20, Steel 200, ComponentIndustrial 2, Chemfuel 180",3200,10000,20,Heavy,,"""Ganjiang·Fenyun""은 고폭 로켓 4발을 한꺼번에 발사하는 고정식 발사 장치입니다. 로켓은 포물선 탄도로 장애물 너머 표적을 공격하지만, 유도 체계가 없어 원거리 명중률이 낮습니다. 집단 표적을 상대로 한 지역 포화 폭격에 권장됩니다.\n\n이 무기는 분리 유도식 집속 탄두를 장착했습니다. 탄체는 명중 전에 여러 고폭 대인 자탄을 방출해 사전 성형 파편으로 범위 내 무방비 표적을 ",,,
퍼널 프로그래밍 단말,funnel programmer,CMC_FunnelProgrammer,CeleTech Arsenal MKIII,tot.celetech.mkiii,셀레테크,1x1,1,통과만,-250 W,,"작업칸 (0,0,-1)",Funnel System Engineering,"Steel 80, Plasteel 20, ComponentIndustrial 4",150,4000,,Light,,퍼널에 전투 AI를 기록하는 양자 프로그래밍 장치입니다. 퍼널 배치 시스템을 장착한 정착민을 선택한 뒤 이 단말기를 오른쪽 클릭하면 퍼널 설정 메뉴를 열 수 있습니다.,,,
편향 보호막 생성기,force field generator,CMCShieldGenerator,CeleTech Arsenal MKIII,tot.celetech.mkiii,셀레테크,3x3,9,통과만,-4090 W,,보호막,Advanced Force-Field Generators,"Steel 300, Plasteel 700, ComponentSpacer 10, Silver 100, Gold 20, Uranium 100",6000,70000,,Heavy,예,"""Tianluo""는 반발력장을 투사해 날아오는 거의 모든 투사체를 막는 고급 편향 보호막 생성기입니다. 다만 고속 투사체와 레이저 무기는 보호막을 관통할 수 있습니다.",,,
프리즘 탑,“Chengying Lightweaver” prism tower,CMC_LaserSniperTower,CeleTech Arsenal MKIII,tot.celetech.mkiii,셀레테크,1x1,1,가능,-5500 W,,,"Advanced Defense Protocol, Thermoelectric Circulation Unit","Steel 250, Plasteel 150, ComponentIndustrial 5, ComponentSpacer 2, Uranium 20, Silver 50",1000,12000,,Light,,"""Chengying·Liuguang""은 주변 다른 프리즘 탑의 에너지를 받아 공격력을 두 배로 높일 수 있는 고층 자동 방어 시설입니다.",,,
함재 4면 위상 배열 레이더,Emei Shipborne Quad-Phased Array Radar,CMC_CICAESA_Radar_Small,CeleTech Arsenal MKIII,tot.celetech.mkiii,셀레테크,3x3,9,불가,-16000 W,,,Heavy Fortifications,"Steel 900, Plasteel 1600, ComponentIndustrial 30, ComponentSpacer 5",800,19999,,Heavy,,"""Emei""는 아군 미사일의 대공·대지 공격을 유도하는 소형 위상 배열 레이더로, 많은 전력을 소비합니다.\n\n건설 시 효과:\n- 지도 전역 대전차 미사일 포탑의 자동 사격을 해금합니다.\n- 지도 전역 대공 미사일이 적의 폭발성·고각 투사체를 능동적으로 요격하도록 유도합니다.\n- 일정 범위 안의 거점을 조명해 궤도포 공격을 유도합니다.",,,
홀로그램 전투 지휘 통제 콘솔,CIC Bench,CMC_CommandBench,CeleTech Arsenal MKIII,tot.celetech.mkiii,셀레테크,4x3,12,통과만,-800 W,,,Heavy Casting Platform,"Steel 40, Plasteel 100, ComponentIndustrial 10, ComponentSpacer 2, Silver 10, Gold 3",650,21000,,Light,예,현재는 장식물일 뿐입니다.\n\n애니메이션은 GPU에서 실행되어 TPS에 영향을 주지 않습니다.,,,
홀로그램 통신 화면,trade console,TradeInfoConsole,CeleTech Arsenal MKIII,tot.celetech.mkiii,셀레테크,2x1,2,통과만,-200 W,,조명 반경 3,microelectronics,"Steel 80, ComponentIndustrial 2",80,4000,,Light,,.,,,
휴대용 핵전지,P.F.R.,CMCPowerCellSmall,CeleTech Arsenal MKIII,tot.celetech.mkiii,셀레테크,1x1,1,통과만,+9000 W 발전,,연료 Uranium 120.0,Fission Reaction Groups,"Steel 150, ComponentIndustrial 4, ComponentSpacer 1, Silver 20",800,12000,,Light,예,우라늄을 연료로 쓰는 휴대용 핵분열 반응로입니다. 손상되면 큰 폭발을 일으킬 수 있습니다.,,,
LRSD-30 아음속 교란기,LRSD-30 Subsonic Disruptor,Building_FBS,CeleTech Subsonic Disruptor,tot.celetech.sub.fbs,방어,2x2,4,통과만,+3350 W 발전,,,multi-analyzer,"Steel 40, Plasteel 100, ComponentIndustrial 10, ComponentSpacer 2, Silver 10, Gold 3",200,11400,-20,Light,,Developed by IRA's Extraterrestrial Biohazard Division under CAG commission. This geological resonance system provides early-stage biological countermeasures for frontier colonies. Emits 19Hz low-frequency waves into sub,,,
AI 관리자,AI manager,CM_AIManager,Colony Manager Redux,ilyvion.colonymanagerredux,생산,2x2,4,통과만,-750 W,,조명 반경 1 / 열 3/초,advanced managing software,"Plasteel 75, Silver 5, AIPersonaCore 1",100,5000,,Medium,예,An enormous supercomputer capable of automously managing your colony. Claims that the AI has a malevolent psychopath subroutine are entirely false. We promise.,,,
관리 장소,managing spot,CMR_ManagingSpot,Colony Manager Redux,ilyvion.colonymanagerredux,생산,1x1,1,가능,,,"연결 가능 설비 1종 / 작업칸 (0,0,-1)",managing spot,,,0,,Light,,"A workplace for a manager, lacking the necessary tools and thus operating very inefficiently.",,,
관리자 책상,manager desk,CM_ManagerStation,Colony Manager Redux,ilyvion.colonymanagerredux,생산,3x1,3,통과만,-100 W,,"연결 가능 설비 1종 / 작업칸 (0,0,-1)",basic managing software,"재질(Metallic/Woody/Stony) 100, Steel 50, Silver 1",180,3000,,Medium,예,A desk with a computer and all the stationary required to allow a manager to do his work efficiently.,,,
기본 관리자 책상,basic manager desk,CM_BasicManagerStation,Colony Manager Redux,ilyvion.colonymanagerredux,생산,3x1,3,통과만,,,"연결 가능 설비 1종 / 작업칸 (0,0,-1)",simple managing desk,재질(Metallic/Woody/Stony) 75,180,2000,,Medium,예,A simple table with all the stationary required to allow a manager to do his work.,,,
관리자 데이터베이스,manager database,CM_ManagerDatabase,Colony Manager Redux,ilyvion.colonymanagerredux,중력부양선,2x2,4,통과만,,중력선 부품[ManagerDatabase] 엔진 거리≤500 최대 1개,설치조건: OnSubstructure,"basic gravtech, basic managing software","Steel 200, ComponentIndustrial 5",400,3000,-10,Heavy,예,A database that takes your colony's management jobs along when switching maps using a gravship.,,,
지형 탐색기,terrain scanner,CO_TerrainScanner,Complementary Odyssey,mrhydralisk.complementaryodyssey,기타,2x2,4,통과만,-300 W,,"작업칸 (0,0,2)","ground-penetrating scanner, long-range mineral scanner, standard gravtech","Steel 100, ComponentIndustrial 3, ComponentSpacer 1",150,8000,-8,Heavy,예,"주변 암석 지층 속의 광물 위치를 탐지하기 위해 사용하는 센서 장치입니다. 지역 전체를 스캔하는 데 걸리는 시간은 운영자의 연구 능력에 따라 달라집니다. 자원을 발견하면, 바위를 채굴해서 해당 지점까지 도달해야 합니다.",,,
건초 (압축),compressed hay,CO_CompressedHay,Complementary Odyssey,mrhydralisk.complementaryodyssey,바닥,1x1,1,가능,,,,"hydroponics, moisture pump","Steel 2, Hay 18",80,5000,,Light,,"건초를 푹신하게 깐 후, 짓눌러 압축합니다. 시간이 지나면 압축된 건초가 미생물에 분해되어 새로운 인공 토양이 됩니다.",,,
접이식 태양광 발전기,roll out solar array,CO_SolarArrayGenerator,Complementary Odyssey,mrhydralisk.complementaryodyssey,전력,1x1,1,가능,,,,"solar panel, standard gravtech","Steel 150, ComponentSpacer 1",180,4500,,,예,"작은 벽걸이 발전 장치로, 햇빛을 이용해 전기를 생산합니다. 필요할 때 태양광 패널을 펼쳤다가 다시 접을 수 있습니다. 어두운 곳이나 인공 조명 아래에서는 작동하지 않으며, 궤도에서는 효율이 더 높습니다.",,,
격벽,vac door,CO_VacDoor,Complementary Odyssey,mrhydralisk.complementaryodyssey,중력부양선,1x1,1,가능,-100 W,,,"autodoor, orbital tech, advanced gravtech","재질(Metallic/Woody/Stony) 35, Steel 80, ComponentIndustrial 4, GravlitePanel 2",230,3500,,Heavy,,"자동문과 진공 장벽의 장점만을 합친, 우주 공간에서 산소 누출을 방지하는 강력한 자동 밀폐문입니다. 내부에는 감압을 막는 초음파 장벽이 형성되어 있어, 문턱 근처의 공기 분자를 압축해 기체가 빠져나가는 것을 막으면서도 허가된 사람만 자유롭게 통과할 수 있습니다.\n\n문이 열려 있을 때 감압을 방지하려면 전력이 공급되어야 합니다. 전력이 공급된 상태에서는 문 통과 시 이동속도 감소가 적거나 ",,,
격벽 (2x1),vac double door,CO_VacDoorDouble,Complementary Odyssey,mrhydralisk.complementaryodyssey,중력부양선,2x1,2,가능,-200 W,,,"autodoor, orbital tech, advanced gravtech","재질(Metallic/Woody/Stony) 70, Steel 160, ComponentIndustrial 8, GravlitePanel 4",460,7000,,Heavy,,"자동문과 진공 장벽의 장점만을 합친, 우주 공간에서 산소 누출을 방지하는 강력한 자동 밀폐문입니다. 내부에는 감압을 막는 초음파 장벽이 형성되어 있어, 문턱 근처의 공기 분자를 압축해 기체가 빠져나가는 것을 막으면서도 허가된 사람만 자유롭게 통과할 수 있습니다.\n\n문이 열려 있을 때 감압을 방지하려면 전력이 공급되어야 합니다. 전력이 공급된 상태에서는 문 통과 시 이동속도 감소가 적거나 ",,,
격벽 (3x1),vac triple door,CO_VacDoorTriple,Complementary Odyssey,mrhydralisk.complementaryodyssey,중력부양선,3x1,3,가능,-300 W,,,"autodoor, orbital tech, advanced gravtech","재질(Metallic/Woody/Stony) 105, Steel 240, ComponentIndustrial 12, GravlitePanel 6",690,10500,,Heavy,,"자동문과 진공 장벽의 장점만을 합친, 우주 공간에서 산소 누출을 방지하는 강력한 자동 밀폐문입니다. 내부에는 감압을 막는 초음파 장벽이 형성되어 있어, 문턱 근처의 공기 분자를 압축해 기체가 빠져나가는 것을 막으면서도 허가된 사람만 자유롭게 통과할 수 있습니다.\n\n문이 열려 있을 때 감압을 방지하려면 전력이 공급되어야 합니다. 전력이 공급된 상태에서는 문 통과 시 이동속도 감소가 적거나 ",,,
벽 진공 장벽 투사기,vac barrier projector on wall,CO_VacBarrierProjectorWall,Complementary Odyssey,mrhydralisk.complementaryodyssey,중력부양선,1x1,1,가능,,,,"orbital tech, advanced gravtech","Steel 90, BlocksVacstone 20, ComponentSpacer 1, GravlitePanel 8",160,7200,,,예,"진공 지붕에 초음파 방벽을 투사하는 벽에 설치된 장치입니다. 초음파 방벽으로 보호 중인 진공 지붕은 감압을 방지하고, 날씨 및 온도 변화로부터 실내를 보호하며, 빛과 물체가 자유롭게 통과할 수 있습니다. 최대 16개의 진공 지붕에 효력을 미치며, 투사 크기와 위치는 설치 후에도 자유롭게 조절 가능합니다.",,,
브릿지 트랙터,extendable bridge,CO_ExtBridge,Complementary Odyssey,mrhydralisk.complementaryodyssey,중력부양선,1x1,1,가능,-120 W,,,"heavy bridges, standard gravtech","Steel 60, ComponentIndustrial 4, GravlitePanel 15",210,9000,,Light,,한 방향으로 간이 브릿지를 신축/수축할 수 있는 견인 트랙터입니다. 필요할 때 최대 15칸까지 플랫폼을 펼치고 접을 수 있을 수 있습니다.,,,
이중 추진기,twin thruster,CO_TwinThruster,Complementary Odyssey,mrhydralisk.complementaryodyssey,중력부양선,3x3,9,불가,,"추진기 GravshipRange 32, 뒤 금지구역 (3, 0, 10)",설치조건: GravshipThruster,advanced gravtech,"Steel 440, BlocksVacstone 150, ComponentSpacer 7",1000,19600,-10,Substructure,예,내열성 진공암 내벽재가 적용된 고급 화학연료 이중 추진기입니다. 중력부양선의 비행 거리를 매우 크게 늘려줍니다. 추진기 설치에는 큰 건물과 중력부양선 하부구조가 없는 빈 공간이 필요합니다.\n\n궤도 소행성에서 얻을 수 있는 진공암 석재가 필요합니다.\n\n중력부양선에는 최대 2개의 이중 추진기를 설치할 수 있습니다.,,,
진공 장벽 투사기,vac barrier projector,CO_VacBarrierProjector,Complementary Odyssey,mrhydralisk.complementaryodyssey,중력부양선,1x1,1,통과만,,,,"orbital tech, advanced gravtech","Steel 140, BlocksVacstone 30, ComponentSpacer 1, GravlitePanel 13",250,11200,,Light,예,"진공 지붕에 초음파 방벽을 투사하는 장치입니다. 초음파 방벽으로 보호 중인 진공 지붕은 감압을 방지하고, 날씨 및 온도 변화로부터 실내를 보호하며, 빛과 물체가 자유롭게 통과할 수 있습니다. 최대 25개의 진공 지붕에 효력을 미치며, 투사 크기와 위치는 설치 후에도 자유롭게 조절 가능합니다.",,,
진공 지붕,vac roof,CO_VacRoofFraming,Complementary Odyssey,mrhydralisk.complementaryodyssey,중력부양선,1x1,1,가능,,,,"orbital tech, advanced gravtech","GravlitePanel 1, Plasteel 4, BlocksVacstone 10",,1250,,Light,,"초음파 방벽을 받아들일 수 있는 전용 지붕 프레임입니다. 진공 장벽 투사기로 초음파 방벽을 받으면 기체의 대류를 막습니다. 투사기 없이는 그냥 뻥 뚫린 프레임일 뿐입니다.\n\n감압을 방지하려면 전력이 공급되는 진공 장벽 투사기가 필요합니다. 날씨 효과와 온도 변화를 막으면서도, 빛과 물체가 자유롭게 통과할 수 있습니다.",,,
컨버터블,roof retractor,CO_RoofRetractor,Complementary Odyssey,mrhydralisk.complementaryodyssey,중력부양선,1x1,1,가능,-15 W,,,standard gravtech,"Steel 30, ComponentIndustrial 1",60,2500,,Light,,"벽과 천장의 접합부에 설치되는 간단한 지붕 개폐 장치입니다. 한 방향으로 설치된 지붕 타일을 접고, 필요할 때 다시 펼 수 있습니다. 직선으로 최대 15개의 지붕 타일을 접어둘 수 있습니다.",,,
공허 탐색자,void seeker,VoidSeeker_DP2Unofficial,Dragonian Prime Race2.0 (Unofficial),eggbed.dragonianraceprime2.0unofficial,기타,1x1,1,통과만,,,연료 WoolDragonian_DP2Unofficial 50.0,multi-analyzer,"Plasteel 75, ComponentIndustrial 8, WoolDragonian_DP2Unofficial 100",262144,10000,,Light,예,Immediately finishes the current anomaly research project(s) at the cost of Dragonian wool.,,,
복제기,duplicator,Duplicator_DP2Unofficial,Dragonian Prime Race2.0 (Unofficial),eggbed.dragonianraceprime2.0unofficial,기타,1x1,1,통과만,,,연료 WoolDragonian_DP2Unofficial 50.0 / 저장 칸당 1묶음,advanced fabrication,"Plasteel 75, ComponentSpacer 8, WoolDragonian_DP2Unofficial 100",524288,250,0.5,Light,예,Items stored on top of this thing will be duplicated at the cost of Dragonian wool. Comes with a built-in power generator immune to solar flare. Only works when fully fueled. It may fail to produce a product or things ne,,,
분해기,deconstructor,Deconstructor_DP2Unofficial,Dragonian Prime Race2.0 (Unofficial),eggbed.dragonianraceprime2.0unofficial,기타,1x1,1,통과만,,,연료 WoolDragonian_DP2Unofficial 50.0,multi-analyzer,"Plasteel 75, ComponentIndustrial 8, WoolDragonian_DP2Unofficial 100",262144,10000,,Light,예,"Remotely deconstructs things and removes floors at the cost of Dragonian wool. You need to first designate things to deconstruct or floors to remove with ""deconstruct"" or ""remove floor"" orders from ""Architect"" tab. Only ",,,
장거리 광물 채굴기,long-range mineral miner,LongRangeMineralMiner_DP2Unofficial,Dragonian Prime Race2.0 (Unofficial),eggbed.dragonianraceprime2.0unofficial,기타,3x3,9,통과만,-1600 W,,"작업칸 (0,0,2)",long-range mineral scanner,"Plasteel 225, ComponentIndustrial 8, WoolDragonian_DP2Unofficial 100",1048576,10000,8,Light,예,A sensor unit used by researchers to detect a specific type of mineral. The chance to find a resource depends on the operator's research ability and the amount of resources found depends on their mining yield. This sort ,,,
오로라 핵,Aurora core,EccentricAuroraCore,Eccentric Tech - Core,aelanna.eccentrictech.core,기타,2x2,4,통과만,-250 W,,연결 설비 [ResearchSpeedFactor 0.1],aurora core,"Steel 50, Plasteel 50, Gold 10, ComponentSpacer 2, AIPersonaCore 1",200,10000,,Medium,예,"오로라의 인공자아 핵을 재구성한 AI 본체입니다. 그것은 편심사의 첨단 기술의 암호화된 데이터베이스를 포함하며, 첨단 연구 작업대에 연결되면 편심사 기술을 복제 및 생산할 수 있습니다.",,,
나노 제작기,nanofabricator,EccentricNanofabricator,Eccentric Tech - Core,aelanna.eccentrictech.core,생산,3x2,6,통과만,-400 W,,"작업칸 (0,0,-1)",nanofabrication,"Steel 200, Plasteel 100, ComponentSpacer 2",350,7500,,Heavy,예,편심 재료 생산을 위한 고급 제작대입니다.,2,"나노직물, 고밀도 육각 셀",
